Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
22,4,0.4167,2.500,22.30,0.07622,0.156161,"YGR240C YMR205C YOL013C YOR375C"
23,10,0.4278,19.25,39.86,0.2433,0.0376658,"YAR002W YLR335W YLR347C YNL189W YMR125W YPL153C YJR041C YPL178W YPL020C YML060W"
24,2,0.9900,0.9900,3.880,0.1116,0.979387,"YAL036C YOR091W"
25,4,0.4367,2.620,23.67,0.07641,0.719318,"YEL037C YDL190C YNR031C YPL096W"
26,12,0.4024,26.56,48.38,0.2684,0.217865,"YBR251W YBR146W YDR041W YDR347W YGL129C YGR165W YNL137C YPL118W YER050C YDR494W YGR084C YPL013C"
27,4,0.4100,2.460,15.26,0.09565,0.153246,"YJR010C-A YDL015C YLR066W YML055W"
28,3,0.8400,2.520,4.360,0.1957,0.331260,"YGL242C YMR109W YKL129C"
29,8,0.4271,11.96,46.32,0.1610,0.603851,"YLR197W YOR310C YKR092C YPR178W YJL010C YOL144W YOR078W YPR137W"
30,4,0.4533,2.720,14.45,0.1081,0.232562,"YDR099W YNL267W YLR176C YNR014W"
31,6,0.8940,13.41,4.170,0.4533,0.00242330,"YLR200W YEL003W YGR078C YJL179W YML094W YNL153C"
32,4,0.6017,3.610,7.220,0.1917,0.235243,"YHR089C YGR283C YMR310C YDR143C"
33,7,0.6029,12.66,9.200,0.3530,0.0106539,"YJL176C YOR290C YHL025W YFL049W YNR023W YBR289W YPL016W"
34,10,0.6882,30.97,31.65,0.3748,0.00363130,"YBR119W YGR013W YIL061C YKL012W YML046W YDL087C YDR235W YDR240C YHR086W YLR298C"
35,20,0.4437,84.31,63.38,0.4492,7.93537e-05,"YDL140C YML010W YBR154C YDL115C YGL043W YGL070C YGR005C YGR063C YGR186W YIL021W YJL140W YOL005C YOR151C YOR210W YOR224C YPL129W YPR187W YDR404C YJR017C YPL225W"
36,23,0.4002,101.2,64.87,0.4773,3.23891e-07,"YBR119W YBL074C YGR074W YHR165C YPR182W YBR055C YER029C YOR159C YGR013W YIL061C YKL012W YLR147C YLR275W YML046W YDR240C YOR308C YDR473C YGR091W YER172C YKL173W YFL018W-A YPR057W YNR011C"
37,15,0.5222,54.83,43.40,0.4276,0.00121763,"YDR190C YJL081C YPL235W YCR060W YHR034C YDL002C YER092W YFL013C YGL150C YLR052W YOR141C YEL044W YNL059C YOR189W YNL215W"
38,22,0.5304,122.5,20.50,0.6551,1.33443e-08,"YBL093C YBR193C YBR253W YDL005C YDR308C YER022W YGL025C YGL127C YHR058C YNR010W YOL051W YOR174W YPR070W YPR168W YGL151W YMR112C YNL236W YHR041C YPL042C YGR104C YLR071C YOL135C"
39,5,0.4930,4.930,19.03,0.1452,0.417266,"YGL245W YBL032W YGL105W YGR264C YLR363W-A"
40,4,0.4817,2.890,18.12,0.09962,0.153246,"YDL126C YMR067C YFL044C YGL108C"
41,12,0.4118,27.18,39.30,0.3004,0.142686,"YER030W YBR079C YDR429C YER025W YJR007W YLR192C YMR146C YMR309C YNL244C YOR361C YPR041W YPL105C"
42,6,0.5013,7.520,10.28,0.2523,0.148553,"YDR049W YKL204W YOL139C YGL049C YGR162W YML017W"
43,7,0.7424,15.59,12.38,0.3715,0.00244531,"YAR003W YBR175W YDR469W YLR015W YPL138C YBR258C YHR119W"
44,4,0.4317,2.590,21.34,0.08111,0.984809,"YGL008C YBL075C YDL095W YPL226W"
45,12,0.4292,28.33,89.36,0.1999,0.602516,"YBR009C YOL054W YBR010W YEL056W YLL022C YMR284W YPL001W YJR154W YMR106C YNL030W YNL031C YNL206C"
46,15,0.5484,57.58,59.20,0.3923,0.0308397,"YDL150W YNL113W YPR110C YPR187W YOR116C YKR025W YOR207C YDR045C YJL011C YKL144C YNL151C YNR003C YPR190C YDR005C YOL021C"
47,25,0.4005,120.2,60.51,0.5209,2.62606e-07,"YJL148W YBR154C YDL150W YDR156W YNL113W YNL248C YOR210W YOR224C YOR340C YOR341W YPR110C YPR187W YOR116C YKR025W YOR207C YDR045C YJL011C YKL144C YNL151C YNR003C YPR190C YDR026C YPR010C YHR143W-A YJR063W"
48,7,0.4424,9.290,15.67,0.2384,0.0799321,"YBR278W YCL032W YDR121W YNL262W YPR175W YBR185C YLR362W"
49,18,0.6043,92.46,19.74,0.6239,1.45365e-06,"YBL041W YFR050C YGL011C YGR135W YGR253C YJL001W YML092C YMR314W YOL038W YOR362C YPR103W YBR173C YER012W YER094C YKL206C YOR157C YCR076C YEL061C"
